date,SKUCode,Description,total_qty
20260103,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),1110
20260103,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,1882
20260103,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,147
20260103,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,2744
20260103,1325213615099MSXT0,T135/70R15 STAR-XT  TL,12816
20260103,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,1636
20260103,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,553
20260103,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,1925
20260103,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,2780
20260103,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,1030
20260103,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,39016
20260103,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,1966
20260103,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,697
20260103,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,1825
20260103,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,11329
20260103,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,3658
20260103,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,637
20260103,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,1962
20260103,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,2861
20260103,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,10000
20260103,1325216614081SUTR0,NA,11638
20260103,1325216614081TVECE,NA,581
20260103,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,13702
20260103,1325216814085SUTR0,165/80R14 UX TOURING TL,6463
20260103,1325216814085TURL0,16580R14 UX ROYALE TL,9792
20260103,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,1142
20260103,1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,2401
20260103,1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,438
20260103,1325217514082HURL2,NA,387
20260103,1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),1589
20260103,1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,2116
20260103,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,6535
20260103,1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,410
20260103,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,3675
20260103,1325217515084HURP0,NA,1050
20260103,1325217613082TUNE2,NA,2278
20260103,1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,402
20260103,1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,1801
20260103,1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,1801
20260103,1325218414082HUSP0,NA,2547
20260103,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,4201
20260103,1325218514086HURL0,185/65R14 UX Royale,2545
20260103,1325218515088HTMX0,185/65 R15 TAXI MAX TL,5954
20260103,1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,1174
20260103,1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,1471
20260103,1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,5153
20260103,1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,3764
20260103,1325218614088HURL0,185/70R14 UX Royale,3265
20260103,1325218614088TVECE,185/70R14 Vectra,828
20260103,1325219316087VURL0,195/55R16 UX ROYALE TL  87V,5190
20260103,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,2155
20260103,1325219316087VUTR0,195/55R16 UX TOURING TL,4581
20260103,1325219416089HRHE0,195/60R16 Ranger HPE TL,1456
20260103,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,225
20260103,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,4061
20260103,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,1165
20260103,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,527
20260103,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,2703
20260103,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,978
20260103,1325220516095HTMX0,NA,5595
20260103,1325220516095HUTR0,205/65R16UX TOURING TL 95H,1730
20260103,1325221317098VUX10,215/55R17UX1 TL 98 V,1776
20260103,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,9730
20260103,1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,3099
20260103,1325221715100SRHT0,215/75 R 15 RANGER HT TL,9331
20260103,1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,536
20260103,1325222317101VUX10,225/55R17 UX1 101V ,2484
20260103,1325222417099HURL0,225/60R17 UX ROYAL 99H TL,608
20260103,1325223317103VUX10,NA,148
20260103,1325223517104HRHT0,235/65R17 RANHER HT TL,2744
20260103,1325223517104HRPG0,NA,1907
20260103,1325223616105HRHT0,235/70R16 Ranger HT TL,1243
20260103,1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,885
20260103,1325226517112HRHT0,265/65R17 RANHER HT 112H TL,1097
